,Market,profit_USDT,profit_percent,remaining_amount,status
0,ASTRUSDT,2.48,2.42,0.0,completed
1,ATOMUSDT,-4.6,-4.94,0.0,completed
2,BTCSTUSDT,1.58,1.56,0.0,completed
3,CFXUSDT,-1.36,-1.38,0.0,completed
4,CRVUSDT,-1.5,-1.53,0.0,completed
5,DOGEUSDT,-99.95,-inf,729.0,not_completed
6,EOSUSDT,-5.55,-2.86,0.0,completed
7,EPSUSDT,-3.93,-4.09,0.0,completed
8,FETUSDT,-0.36,-0.36,0.0,completed
9,FIOUSDT,4.06,3.9,0.0,completed
10,GMTUSDT,-0.5,-0.5,0.0,completed
11,JSTUSDT,0.3,0.3,0.0,completed
12,KAVAUSDT,4.77,2.34,0.0,completed
13,KNCUSDT,7.4,3.57,0.0,completed
14,LINAUSDT,-0.72,-0.73,0.0,completed
15,LTCUSDT,-5.06,-5.33,0.01,completed
16,LUNAUSDT,7.27,3.53,0.01,completed
17,MIRUSDT,-8.46,-9.25,0.0,completed
18,MTLUSDT,-15.34,-18.85,0.0,completed
19,NEARUSDT,13.62,6.41,0.0,completed
20,OGNUSDT,-7.7,-8.35,0.0,completed
21,PUNDIXUSDT,2.07,2.03,0.0,completed
22,RAREUSDT,-0.87,-0.88,0.0,completed
23,ROSEUSDT,-0.27,-0.27,0.0,completed
24,SANDUSDT,0.94,0.98,0.0,completed
25,SCRTUSDT,-99.62,-inf,21.0,not_completed
26,SNXUSDT,0.85,0.43,0.0,completed
27,SOLUSDT,98.02,9.94,-1.0,completed
28,UTKUSDT,-0.7,-0.71,0.0,completed
29,VOXELUSDT,-12.82,-14.71,0.0,completed
30,ZECUSDT,-0.45,-0.45,0.0,completed
31,ZRXUSDT,-0.2,-0.2,0.0,completed
